ID,Domain Name,LLM Model,Prompt ID,LLM_Status,LLM API Time S,Input Tokens Consumed,Output Tokens Generated,Path to Raw LLM Response,Passed Stage V1,Path to Extracted PDDL,Passed VAL Syntactic Check (V2),VAL_error_string,Passed V3,Passed V4,Validation Status,Timestamp
1,visitall,gpt-5.4-2026-03-05,1,Passed,6.194,242,132,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/visitall/visitall_gpt-5.4_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/visitall/visitall_gpt-5.4_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:20.224099Z
2,visitall,claude-opus-4-6,1,Passed,7.391,285,140,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/visitall/visitall_claude-opus-4.6_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/visitall/visitall_claude-opus-4.6_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:21.418946Z
3,snake,gpt-5.4-2026-03-05,1,Passed,7.792,797,586,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/snake/snake_gpt-5.4_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/snake/snake_gpt-5.4_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:28.126194Z
4,visitall,gemini-3.1-pro-preview-customtools,1,Passed,14.171,262,135,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/visitall/visitall_gemini-3.1-pro_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/visitall/visitall_gemini-3.1-pro_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:28.252711Z
5,snake,claude-opus-4-6,1,Passed,7.713,929,692,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/snake/snake_claude-opus-4.6_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/snake/snake_claude-opus-4.6_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:29.155205Z
6,ricochet-robots,gpt-5.4-2026-03-05,1,Passed,6.699,921,500,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/ricochet-robots/ricochet-robots_gpt-5.4_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/ricochet-robots/ricochet-robots_gpt-5.4_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:34.849745Z
7,ricochet-robots,claude-opus-4-6,1,Passed,6.651,1069,585,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/ricochet-robots/ricochet-robots_claude-opus-4.6_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/ricochet-robots/ricochet-robots_claude-opus-4.6_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:35.832916Z
8,visitall,deepseek-reasoner,1,Passed,25.268,249,1659,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/visitall/visitall_deepseek-r1_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/visitall/visitall_deepseek-r1_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:39.297873Z
9,depots,gpt-5.4-2026-03-05,1,Passed,6.180,657,532,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/depots/depots_gpt-5.4_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/depots/depots_gpt-5.4_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:41.052290Z
10,depots,claude-opus-4-6,1,Passed,7.307,734,584,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/depots/depots_claude-opus-4.6_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/depots/depots_claude-opus-4.6_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:43.162637Z
11,barman,gpt-5.4-2026-03-05,1,Passed,16.168,1650,1489,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/barman/barman_gpt-5.4_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/barman/barman_gpt-5.4_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:50:57.244304Z
12,barman,claude-opus-4-6,1,Passed,18.272,2042,1865,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/barman/barman_claude-opus-4.6_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/barman/barman_claude-opus-4.6_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:51:01.458698Z
13,snake,deepseek-reasoner,1,Passed,35.937,843,2771,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/snake/snake_deepseek-r1_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/snake/snake_deepseek-r1_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:51:15.257401Z
14,snake,gemini-3.1-pro-preview-customtools,1,Passed,52.860,868,649,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/LLM Results/snake/snake_gemini-3.1-pro_General.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/general_prompt/Extracted PDDL/snake/snake_gemini-3.1-pro_General.pddl,True,N/A,True,True,VALID,2026-05-01T15:51:21.233793Z
