ID,Domain Name,LLM Model,Prompt ID,LLM_Status,LLM API Time S,Input Tokens Consumed,Output Tokens Generated,Path to Raw LLM Response,Passed Stage V1,Path to Extracted PDDL,Passed VAL Syntactic Check (V2),VAL_error_string,Passed V3,Passed V4,Validation Status,Timestamp
101,barman,gpt-5.4-2026-03-05,1.1,Passed,16.599658012390137,3338,1575,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/LLM Responses/gpt-5.4/lama/barman/barman_gpt-5.4_lama_iter1.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/lama/barman/barman_gpt-5.4_Feedback_lama_iter1.pddl,True,N/A,True,True,VALID,2026-05-24T16:41:59.611217+00:00
102,barman,claude-opus-4-6,1.1,Passed,20.38831901550293,4008,1983,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/LLM Responses/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_lama_iter1.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_Feedback_lama_iter1.pddl,True,N/A,True,True,VALID,2026-05-24T16:42:02.806256+00:00
103,barman,deepseek-reasoner,1.1,Passed,43.06647491455078,3415,5753,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/LLM Responses/deepseek-r1/lama/barman/barman_deepseek-r1_lama_iter1.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/deepseek-r1/lama/barman/barman_deepseek-r1_Feedback_lama_iter1.pddl,True,N/A,True,True,VALID,2026-05-24T16:42:26.726867+00:00
104,barman,gemini-3.1-pro-preview-customtools,1.1,Passed,74.50593996047974,2933,1759,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/LLM Responses/gemini-3.1-pro/lama/barman/barman_gemini-3.1-pro_lama_iter1.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gemini-3.1-pro/lama/barman/barman_gemini-3.1-pro_Feedback_lama_iter1.pddl,True,N/A,True,True,VALID,2026-05-24T16:42:59.250199+00:00
105,barman,gpt-5.4-2026-03-05,1.2,Passed,17.162733793258667,3515,1586,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/LLM Responses/gpt-5.4/lama/barman/barman_gpt-5.4_lama_iter2.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/lama/barman/barman_gpt-5.4_Feedback_lama_iter2.pddl,True,N/A,True,True,VALID,2026-05-24T16:43:16.520945+00:00
106,barman,claude-opus-4-6,1.2,Passed,19.866123914718628,4242,1990,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/LLM Responses/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_lama_iter2.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_Feedback_lama_iter2.pddl,True,N/A,True,True,VALID,2026-05-24T16:43:21.587282+00:00
107,barman,deepseek-reasoner,1.2,Passed,36.74279808998108,3570,4111,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/LLM Responses/deepseek-r1/lama/barman/barman_deepseek-r1_lama_iter2.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/deepseek-r1/lama/barman/barman_deepseek-r1_Feedback_lama_iter2.pddl,True,N/A,True,True,VALID,2026-05-24T16:44:02.150544+00:00
108,barman,gpt-5.4-2026-03-05,1.3,Passed,17.65884494781494,3649,1580,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/LLM Responses/gpt-5.4/lama/barman/barman_gpt-5.4_lama_iter3.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/lama/barman/barman_gpt-5.4_Feedback_lama_iter3.pddl,True,N/A,True,True,VALID,2026-05-24T16:44:36.070054+00:00
109,barman,claude-opus-4-6,1.3,Passed,21.102148056030273,4422,2051,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/LLM Responses/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_lama_iter3.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_Feedback_lama_iter3.pddl,True,N/A,True,True,VALID,2026-05-24T16:44:43.740575+00:00
110,barman,gemini-3.1-pro-preview-customtools,1.2,Passed,59.446866035461426,3849,1774,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/LLM Responses/gemini-3.1-pro/lama/barman/barman_gemini-3.1-pro_lama_iter2.txt,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gemini-3.1-pro/lama/barman/barman_gemini-3.1-pro_Feedback_lama_iter2.pddl,True,N/A,True,True,VALID,2026-05-24T16:44:58.763058+00:00
