ID,Domain,LLM,Target_Planner,Iteration,Validation_Status,V4_Failure_Detail,Coverage,Avg_Run_Wall_s,Avg_StatesExpanded,IPC_Score,Delta_vs_Baseline,Improved,Delta_vs_Previous,Is_Best_So_Far,LLM_Rationale,Termination_Reason,LLM_Input_Tokens,LLM_Output_Tokens,Domain_File_Path,Timestamp
1,barman,gpt-5.4-2026-03-05,lama,1,VALID,N/A,1.0,3.588543466666666,28648,14.894210887770713,0.10365261439148132,True,-0.0958942183564897,False,"I reordered predicates to put dynamic, goal-relevant container and shaker state first and static relation predicates last, then ordered actions from simpler/enabling schemas toward more constrained transformation schemas to bias LAMA’s operator handling and heuristic support extraction. Within each action, I placed static tests first, then restrictive dynamic conditions, and moved add effects before deletes with goal-relevant adds earliest so relaxed-plan propagation and preferred-operator selection favor productive steps.",N/A,3338,1575,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/lama/barman/barman_gpt-5.4_Feedback_lama_iter1.pddl,2026-05-24T18:41:59.609716
2,barman,claude-opus-4-6,lama,1,VALID,N/A,1.0,3.630721333333333,28648,14.873046651680607,0.037694533166004573,True,-0.11348081523103914,False,"My reordering strategy focuses on further optimizing precondition ordering within actions to place static predicates first and most restrictive conditions early, reordering effects to prioritize goal-relevant add-effects before auxiliary ones and delete-effects last, and fine-tuning action ordering to place simpler enabling actions earlier while keeping the predicate block optimized with goal-relevant predicates first and static predicates last. I expect this to improve FF's relaxed-plan extraction quality (better preferred operators) and accelerate applicability checking, particularly helping on the harder instances (04, 13) where IPC gains were negative.",N/A,4008,1983,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_Feedback_lama_iter1.pddl,2026-05-24T18:42:02.805652
3,barman,deepseek-reasoner,lama,1,VALID,N/A,1.0,3.7034498,28648,14.818609679680291,-0.04133486387792218,False,-0.18139032031970892,False,"I reordered predicates to place dynamic goal-relevant predicates (contains, shaked, shaker-level) before static ones to improve mutex discovery for landmark ordering. Actions were ordered by increasing precondition count with enabling actions earlier to speed up initial greedy search, and within each action I placed static preconditions first and positive effects before negative effects to optimize FF's relaxed-plan extraction and heuristic propagation.",N/A,3415,5753,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/deepseek-r1/lama/barman/barman_deepseek-r1_Feedback_lama_iter1.pddl,2026-05-24T18:42:26.726290
4,barman,gemini-3.1-pro-preview-customtools,lama,1,VALID,N/A,1.0,3.716530066666666,28648,14.844033909208385,-0.0544442209685112,False,14.844033909208385,True,"To optimize for LAMA's architecture, I reordered predicates to place goal-relevant (`contains`) and frequently modified ones first, accelerating mutex discovery and improving landmark ordering constraints. I also sorted actions by precondition count and enabling potential (e.g., `grasp` and `leave` first) to speed up greedy best-first search, while internally restructuring preconditions (static first) and effects (add-effects first) to optimize the FF heuristic's relaxed-plan extraction and applicability checks.",N/A,2933,1759,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gemini-3.1-pro/lama/barman/barman_gemini-3.1-pro_Feedback_lama_iter1.pddl,2026-05-24T18:42:59.249712
5,barman,gpt-5.4-2026-03-05,lama,2,VALID,N/A,1.0,3.7240775333333334,28648,14.860053820553302,-0.11140690864862746,False,-0.03415706721741074,False,"I reordered predicates to keep dynamic goal-carrying container and shaker state first, pushed static relation predicates to the end, and reordered actions so the simplest support/enabling operators appear earlier while more constrained transformation operators come later. Within each action I placed static tests before dynamic ones where possible, then more selective conditions earlier, and ordered effects with goal-relevant add effects before auxiliary adds and deletes last to better align FF support extraction, preferred-operator choice, and landmark progression in LAMA.",N/A,3515,1586,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/lama/barman/barman_gpt-5.4_Feedback_lama_iter2.pddl,2026-05-24T18:43:16.520294
6,barman,claude-opus-4-6,lama,2,VALID,N/A,1.0,3.696927533333333,28648,14.798240817698904,-0.09703297966548385,False,-0.07480583398170282,False,"My reordering strategy focuses on improving the instances with negative IPC gains (08, 09, 13, 16, 19) by further refining precondition ordering to place static predicates consistently first for faster short-circuiting, reordering effects to place goal-relevant add-effects (contains) before auxiliary ones, and adjusting action ordering so that the most critical enabling actions (grasp, fill-shot) appear earliest while keeping leave early as a simple enabling action. I expect this to improve preferred operator selection in FF's relaxed-plan extraction for the harder instances where suboptimal tie-breaking was causing slightly worse plans.",N/A,4242,1990,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_Feedback_lama_iter2.pddl,2026-05-24T18:43:21.586654
7,barman,deepseek-reasoner,lama,2,VALID,N/A,1.0,3.6213916,28648,14.837700572865801,0.048774065018059365,True,0.019090893185509827,False,"By placing static predicates first in the declaration, I aim to improve mutex discovery during invariant synthesis, as these invariants provide stable relationships that guide landmark ordering. Ordering actions by decreasing precondition count (most complex first) prioritizes actions that are more likely to be goal-directed in search tie-breaking, while moving dynamic preconditions before static ones in each action allows earlier failure detection on restrictive conditions during applicability checks.",N/A,3570,4111,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/deepseek-r1/lama/barman/barman_deepseek-r1_Feedback_lama_iter2.pddl,2026-05-24T18:44:02.149831
8,barman,gpt-5.4-2026-03-05,lama,3,VALID,N/A,1.0,3.8089124666666665,28648,14.708709120392273,-0.19801709191994432,False,-0.15134470016102952,False,"I reorder predicates to keep dynamic container/shaker state facts before hand-state and static recipe/adjacency facts, but I avoid the broader action reshuffling from the regressing attempt and instead preserve a conservative operator order close to the successful structure while only refining intra-action condition/effect order. I expect this to help translation and relaxed-plan support selection without perturbing successor tie-breaking too much, especially on the harder instances where the previous aggressive action ordering hurt runtime.",MAX_ITER,3649,1580,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/lama/barman/barman_gpt-5.4_Feedback_lama_iter3.pddl,2026-05-24T18:44:36.069581
9,barman,claude-opus-4-6,lama,3,VALID,N/A,1.0,3.7613687333333337,28648,14.831371709554809,-0.10170671263460063,False,0.033130891855904565,False,"My reordering strategy reverts to the successful Iteration 1 approach but with targeted refinements: I reorder predicates to place goal-relevant ones (contains, ontable, clean, empty) first and static predicates (next, cocktail-part1/2, dispenses, shaker-empty-level) last, order actions so simple enabling actions (grasp, leave) come first followed by the main workflow chain (fill-shot, pour-shot-to-clean-shaker, pour-shot-to-used-shaker, shake, pour-shaker-to-shot, empty-shaker, clean-shaker, then maintenance actions), and within preconditions place static predicates first followed by restrictive dynamic ones while putting add-effects before delete-effects with goal-relevant adds first. This should improve mutex discovery, FF relaxed-plan extraction quality for preferred operator selection, and applicability short-circuiting compared to both the baseline and the failed Iteration 2.",MAX_ITER,4422,2051,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_Feedback_lama_iter3.pddl,2026-05-24T18:44:43.739911
10,barman,gemini-3.1-pro-preview-customtools,lama,2,VALID,N/A,1.0,3.721098333333333,28648,14.810067444981879,-0.037781241325004156,False,-0.03396646422650562,False,"To correct the previous regression caused by prioritizing highly-branching movement actions, I reversed the action ordering to place complex, goal-achieving actions (like `pour-shaker-to-shot` and `shake`) first and simple enabling actions (like `grasp` and `leave`) last, which guides LAMA's greedy search tie-breaking directly toward goal progression. Additionally, I optimized preconditions by placing static and restrictive predicates first for faster applicability filtering, and grouped add-effects before delete-effects to accelerate the FF heuristic's relaxed-plan extraction.",N/A,3849,1774,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gemini-3.1-pro/lama/barman/barman_gemini-3.1-pro_Feedback_lama_iter2.pddl,2026-05-24T18:44:58.762573
