Domain,LLM,Planner,Iteration,Score
barman,GPT-5.4,lama,1,14.6123
barman,Claude Opus 4.6,lama,1,14.5449
barman,DeepSeek-R1,lama,1,14.4714
barman,Gemini 3.1 Pro,lama,1,14.4595
barman,GPT-5.4,lama,2,14.401
barman,Claude Opus 4.6,lama,2,14.4213
barman,DeepSeek-R1,lama,2,14.565
barman,GPT-5.4,lama,3,14.3209
barman,Claude Opus 4.6,lama,3,14.4092
barman,Gemini 3.1 Pro,lama,2,14.4768
barman,DeepSeek-R1,lama,3,14.4946
barman,Gemini 3.1 Pro,lama,3,14.7124
barman,GPT-5.4,decstar,1,1.9569
barman,Claude Opus 4.6,decstar,1,1.9747
barman,DeepSeek-R1,decstar,1,1.9625
barman,DeepSeek-R1,decstar,2,N/A (Invalid: INVALID_V4)
barman,Gemini 3.1 Pro,decstar,1,1.9692
barman,GPT-5.4,decstar,2,1.9595
barman,Claude Opus 4.6,decstar,2,1.9635
barman,DeepSeek-R1,decstar,3,1.9645
barman,Gemini 3.1 Pro,decstar,2,1.9647
barman,Gemini 3.1 Pro,decstar,3,N/A (Invalid: LLM_TokenLimitExceeded)
barman,DeepSeek-R1,bfws,1,6.9588
barman,Gemini 3.1 Pro,bfws,1,7.0913
barman,DeepSeek-R1,bfws,2,6.9478
barman,Gemini 3.1 Pro,bfws,2,7.085
barman,DeepSeek-R1,bfws,3,6.9494
barman,DeepSeek-R1,madagascar,1,N/A (Invalid: INVALID_V4)
barman,Gemini 3.1 Pro,bfws,3,7.0872
barman,GPT-5.4,decstar,3,1.956
barman,Claude Opus 4.6,decstar,3,1.9486
barman,GPT-5.4,bfws,1,6.8829
barman,Claude Opus 4.6,bfws,1,6.8996
barman,GPT-5.4,bfws,2,6.8761
barman,Claude Opus 4.6,bfws,2,6.895
barman,Gemini 3.1 Pro,madagascar,1,2.8562
barman,GPT-5.4,bfws,3,6.8851
barman,Claude Opus 4.6,bfws,3,6.9074
barman,DeepSeek-R1,madagascar,2,2.1298
barman,Gemini 3.1 Pro,madagascar,2,1.9056
barman,Claude Opus 4.6,madagascar,1,1.671
barman,GPT-5.4,madagascar,1,1.2616
barman,DeepSeek-R1,madagascar,3,1.7578
depots,DeepSeek-R1,lama,1,10.0679
depots,DeepSeek-R1,lama,2,10.0232
depots,DeepSeek-R1,lama,3,N/A (Invalid: INVALID_V1)
depots,DeepSeek-R1,decstar,1,8.3564
depots,DeepSeek-R1,decstar,2,8.443
depots,DeepSeek-R1,decstar,3,8.4144
depots,DeepSeek-R1,bfws,1,11.0833
depots,DeepSeek-R1,bfws,2,11.2499
depots,DeepSeek-R1,bfws,3,11.1862
depots,DeepSeek-R1,madagascar,1,13.1973
depots,DeepSeek-R1,madagascar,2,13.4341
depots,DeepSeek-R1,madagascar,3,13.5635
barman,Gemini 3.1 Pro,madagascar,3,1.5794
depots,Gemini 3.1 Pro,lama,1,10.1023
barman,GPT-5.4,madagascar,2,1.673
depots,Gemini 3.1 Pro,lama,2,10.128
depots,Gemini 3.1 Pro,lama,3,9.9768
barman,Claude Opus 4.6,madagascar,2,0.9045
depots,Gemini 3.1 Pro,decstar,1,8.4934
depots,Gemini 3.1 Pro,decstar,2,8.4643
depots,Gemini 3.1 Pro,decstar,3,8.4642
depots,Gemini 3.1 Pro,bfws,1,11.1531
depots,Gemini 3.1 Pro,bfws,2,11.1221
ricochet-robots,DeepSeek-R1,lama,1,4.662
depots,Gemini 3.1 Pro,bfws,3,11.1966
depots,Gemini 3.1 Pro,madagascar,1,13.5811
depots,Gemini 3.1 Pro,madagascar,2,13.5829
depots,Gemini 3.1 Pro,madagascar,3,13.5274
barman,GPT-5.4,madagascar,3,2.3228
depots,GPT-5.4,lama,1,10.0258
depots,GPT-5.4,lama,2,10.0599
depots,GPT-5.4,lama,3,10.1047
depots,GPT-5.4,decstar,1,8.485
depots,GPT-5.4,decstar,2,8.4901
depots,GPT-5.4,decstar,3,8.3996
depots,GPT-5.4,bfws,1,11.0832
depots,GPT-5.4,bfws,2,N/A (Invalid: INVALID_V4)
depots,GPT-5.4,bfws,3,11.1194
depots,GPT-5.4,madagascar,1,13.4687
depots,GPT-5.4,madagascar,2,13.4753
depots,GPT-5.4,madagascar,3,13.3681
barman,Claude Opus 4.6,madagascar,3,1.5704
depots,Claude Opus 4.6,lama,1,10.1241
depots,Claude Opus 4.6,lama,2,10.1612
depots,Claude Opus 4.6,lama,3,10.1615
depots,Claude Opus 4.6,decstar,1,8.5057
ricochet-robots,DeepSeek-R1,lama,2,5.1506
ricochet-robots,DeepSeek-R1,lama,3,N/A (Invalid: INVALID_V1)
depots,Claude Opus 4.6,decstar,2,8.6208
ricochet-robots,Gemini 3.1 Pro,lama,1,5.1558
depots,Claude Opus 4.6,decstar,3,8.6478
ricochet-robots,Gemini 3.1 Pro,lama,2,N/A (Invalid: LLM_TokenLimitExceeded)
depots,Claude Opus 4.6,bfws,1,11.304
depots,Claude Opus 4.6,bfws,2,11.2559
depots,Claude Opus 4.6,bfws,3,11.269
depots,Claude Opus 4.6,madagascar,1,13.6526
depots,Claude Opus 4.6,madagascar,2,13.5782
depots,Claude Opus 4.6,madagascar,3,13.6428
ricochet-robots,GPT-5.4,lama,1,5.1763
ricochet-robots,DeepSeek-R1,decstar,1,4.8599
ricochet-robots,DeepSeek-R1,decstar,2,N/A (Invalid: INVALID_V1)
ricochet-robots,DeepSeek-R1,decstar,3,N/A (Invalid: INVALID_V1)
ricochet-robots,DeepSeek-R1,bfws,1,N/A (Invalid: INVALID_V1)
ricochet-robots,DeepSeek-R1,bfws,2,N/A (Invalid: INVALID_V1)
ricochet-robots,DeepSeek-R1,bfws,3,N/A (Invalid: INVALID_V1)
ricochet-robots,Gemini 3.1 Pro,lama,3,5.1867
ricochet-robots,Claude Opus 4.6,lama,1,5.1917
ricochet-robots,GPT-5.4,lama,2,5.1901
ricochet-robots,Gemini 3.1 Pro,decstar,1,4.8227
ricochet-robots,Claude Opus 4.6,lama,2,5.18
ricochet-robots,DeepSeek-R1,madagascar,1,0.0
ricochet-robots,GPT-5.4,lama,3,5.1808
ricochet-robots,Gemini 3.1 Pro,decstar,2,4.8199
ricochet-robots,Gemini 3.1 Pro,decstar,3,N/A (Invalid: LLM_TokenLimitExceeded)
ricochet-robots,Claude Opus 4.6,lama,3,5.1701
snake,DeepSeek-R1,lama,1,1.2037
ricochet-robots,Gemini 3.1 Pro,bfws,1,11.3288
ricochet-robots,GPT-5.4,decstar,1,4.7947
ricochet-robots,Claude Opus 4.6,decstar,1,4.7882
snake,DeepSeek-R1,lama,2,1.1821
snake,DeepSeek-R1,lama,3,N/A (Invalid: INVALID_V1)
ricochet-robots,Gemini 3.1 Pro,bfws,2,9.1331
ricochet-robots,GPT-5.4,decstar,2,4.7943
ricochet-robots,Claude Opus 4.6,decstar,2,4.7988
ricochet-robots,Gemini 3.1 Pro,bfws,3,9.1862
snake,DeepSeek-R1,decstar,1,1.703
snake,DeepSeek-R1,decstar,2,N/A (Invalid: INVALID_V1)
ricochet-robots,GPT-5.4,decstar,3,4.7917
ricochet-robots,Claude Opus 4.6,decstar,3,4.789
ricochet-robots,GPT-5.4,bfws,1,8.9787
ricochet-robots,Gemini 3.1 Pro,madagascar,1,0.0
snake,DeepSeek-R1,decstar,3,1.7165
